status,model,pretrained,learning_rate,weight_decay,batch_size,label_smoothing,epochs_completed,best_epoch,best_val_acc,test_loss,test_acc,early_stopped,return_code,run_name
completed,resnet101,True,0.0001,1e-05,32,0.1,64,49,0.942156862745098,1.1399891930763306,0.9157586599447065,True,0,resnet101_pretrained_lr0p0001_wd1e-05_bs32_ls0p1
completed,efficientnet_b3,True,0.0001,0.0001,32,0.0,102,87,0.942156862745098,0.2932312625149381,0.917872824849569,True,0,efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs32_ls0
completed,efficientnet_b3,True,0.0003,0.0001,32,0.0,45,30,0.9411764705882353,0.28792831567818095,0.9208001301024556,True,0,efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs32_ls0
completed,efficientnet_b0,True,5e-05,1e-05,16,0.1,62,47,0.9401960784313725,1.1911415594693102,0.9149455195966824,True,0,efficientnet_b0_pretrained_lr5e-05_wd1e-05_bs16_ls0p1
completed,efficientnet_b3,True,0.0003,0.0001,16,0.0,30,15,0.9401960784313725,0.3049975865311372,0.9167344283623353,True,0,efficientnet_b3_pretrained_lr0p0003_wd0p0001_bs16_ls0
completed,efficientnet_b3,True,0.0003,1e-05,32,0.0,50,35,0.9401960784313725,0.3008665451795865,0.9191738494064076,True,0,efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs32_ls0
completed,resnet101,True,0.0003,1e-05,16,0.1,35,20,0.9392156862745098,1.1251987407684017,0.9090909090909091,True,0,resnet101_pretrained_lr0p0003_wd1e-05_bs16_ls0p1
completed,efficientnet_b0,True,0.0003,0.0001,32,0.0,54,39,0.9392156862745098,0.3190191337965389,0.9172223125711498,True,0,efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs32_ls0
completed,efficientnet_b0,True,0.0003,1e-05,32,0.0,54,39,0.9392156862745098,0.324777019339203,0.9157586599447065,True,0,efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs32_ls0
skipped,resnet50,True,0.0001,1e-05,32,0.1,45,30,0.9382352941176471,1.1529281434052785,0.9217758985200846,True,0,resnet50_pretrained_lr0p0001_wd1e-05_bs32_ls0p1
